From Station Name,Usertype,Latitude,Longitude,Number of Records,,
Ogden Ave & Chicago Ave,Subscriber,41.89636246,-87.65406127,"15,074",,
Eckhart Park,Subscriber,41.89637337,-87.66098386,"11,408",,
Clark St & Chicago Ave,Subscriber,41.896544,-87.630931,"18,762",,
Franklin St & Chicago Ave,Subscriber,41.896776,-87.635633,"26,910",,
Mies van der Rohe Way & Chicago Ave,Subscriber,41.89691,-87.621743,"21,792",,
State St & Pearson St,Subscriber,41.897448,-87.628722,"21,160",,
Michigan Ave & Pearson St,Subscriber,41.89766,-87.62351,"11,832",,
Michigan Ave & Pearson St,Customer,41.89766,-87.62351,"13,568",,
Larrabee St & Kingsbury St,Subscriber,41.897764,-87.642884,"42,610",,
Western Ave & Walton St,Subscriber,41.89841769,-87.68659602,"10,028",,
Mies van der Rohe Way & Chestnut St,Subscriber,41.89858665,-87.62191523,"23,018",,
Mies van der Rohe Way & Chestnut St,Customer,41.89858665,-87.62191523,"12,208",,
Dearborn Pkwy & Delaware Pl,Subscriber,41.898969,-87.629912,"31,328",,
Damen Ave & Augusta Blvd,Subscriber,41.899113,-87.677212,"14,158",,
Ashland Ave & Augusta Blvd,Subscriber,41.899643,-87.6677,"10,452",,
Wells St & Walton St,Subscriber,41.89993001,-87.63443007,"13,452",,
Larrabee St & Oak St,Subscriber,41.90021949,-87.64298547,"17,338",,
Noble St & Milwaukee Ave,Subscriber,41.90068,-87.6626,"14,118",,
Michigan Ave & Oak St,Customer,41.90096039,-87.62377664,"46,360",,
Michigan Ave & Oak St,Subscriber,41.90096039,-87.62377664,"32,434",,
Rush St & Cedar St,Subscriber,41.9023087,-87.62769053,"18,646",,
Clark St & Elm St,Subscriber,41.902973,-87.63128,"40,520",,
Wells St & Elm St,Subscriber,41.903222,-87.634324,"22,332",,
Damen Ave & Division St,Subscriber,41.903288,-87.6776925,"18,930",,
Ashland Ave & Division St,Subscriber,41.90345,-87.667747,"27,032",,
Larrabee St & Division St,Subscriber,41.90348607,-87.64335349,"18,662",,
Clybourn Ave & Division St,Subscriber,41.904613,-87.640552,"11,910",,
Wells St & Evergreen Ave,Subscriber,41.906724,-87.63483,"21,864",,
Ritchie Ct & Banks St,Subscriber,41.906824,-87.6263095,"12,772",,
Ashland Ave & Blackhawk St,Subscriber,41.907066,-87.667252,"11,246",,
Wood St & Milwaukee Ave,Subscriber,41.907655,-87.672552,"18,854",,
Clark St & Schiller St,Subscriber,41.907993,-87.631501,"21,720",,
Halsted St & Blackhawk St (*),Subscriber,41.908537,-87.648627,"23,928",,
Damen Ave & Pierce Ave,Subscriber,41.90939601,-87.67769193,"30,516",,
Paulina Ave & North Ave,Subscriber,41.910337,-87.670072,"13,106",,
Sheffield Ave & Kingsbury St,Subscriber,41.910522,-87.653106,"17,648",,
Dayton St & North Ave,Subscriber,41.91057803,-87.64942193,"19,186",,
Sedgwick St & North Ave,Subscriber,41.911386,-87.638677,"22,354",,
Lake Shore Dr & North Blvd,Customer,41.911722,-87.626804,"56,192",,
Lake Shore Dr & North Blvd,Subscriber,41.911722,-87.626804,"39,356",,
Clark St & North Ave,Subscriber,41.911974,-87.631942,"14,038",,
Wells St & Concord Ln,Subscriber,41.912133,-87.634656,"39,072",,
Milwaukee Ave & Wabansia Ave,Subscriber,41.912616,-87.681391,"14,336",,
Sheffield Ave & Willow St,Subscriber,41.913688,-87.652855,"16,506",,
Halsted St & Willow St,Subscriber,41.913778,-87.64884,"10,990",,
Larrabee St & Menomonee St,Subscriber,41.91468,-87.64332,"10,650",,
Western Ave & Winnebago Ave,Subscriber,41.91552,-87.687022,"13,310",,
Clark St & Lincoln Ave,Subscriber,41.915689,-87.6346,"28,748",,
Clark St & Lincoln Ave,Customer,41.915689,-87.6346,"12,760",,
Marshfield Ave & Cortland St,Subscriber,41.916017,-87.668879,"30,482",,
Damen Ave & Cortland St,Subscriber,41.916027,-87.677411,"16,004",,
Larrabee St & Armitage Ave,Subscriber,41.918084,-87.643749,"11,210",,
Clifton Ave & Armitage Ave,Subscriber,41.918216,-87.656936,"14,886",,
Clark St & Armitage Ave,Customer,41.918306,-87.636282,"15,388",,
Clark St & Armitage Ave,Subscriber,41.918306,-87.636282,"32,650",,
Bissell St & Armitage Ave,Subscriber,41.91844,-87.65222,"23,464",,
Halsted St & Dickens Ave,Subscriber,41.919936,-87.64883,"14,812",,
Southport Ave & Clybourn Ave,Subscriber,41.920771,-87.663712,"11,472",,
Sheffield Ave & Webster Ave,Subscriber,41.92154,-87.653818,"19,646",,
Larrabee St & Webster Ave,Subscriber,41.921822,-87.64414,"20,196",,
Sedgwick St & Webster Ave,Subscriber,41.922167,-87.638888,"19,106",,
California Ave & Milwaukee Ave,Subscriber,41.922695,-87.697153,"17,478",,
Racine Ave & Fullerton Ave,Subscriber,41.92556258,-87.65840426,"14,046",,
Sheffield Ave & Fullerton Ave,Subscriber,41.92560188,-87.65370804,"29,602",,
Lakeview Ave & Fullerton Pkwy,Subscriber,41.925858,-87.638973,"20,520",,
Lincoln Ave & Fullerton Ave,Subscriber,41.925905,-87.64926,"17,968",,
Theater on the Lake,Customer,41.926277,-87.630834,"52,794",,
Theater on the Lake,Subscriber,41.926277,-87.630834,"43,018",,
Cannon Dr & Fullerton Ave,Customer,41.92675599,-87.63442878,"10,274",,
Sheffield Ave & Wrightwood Ave,Subscriber,41.928712,-87.653833,"13,510",,
Southport Ave & Wrightwood Ave,Subscriber,41.928773,-87.663913,"11,648",,
Racine Ave & Wrightwood Ave,Subscriber,41.928887,-87.658971,"10,656",,
Halsted St & Wrightwood Ave,Subscriber,41.929143,-87.649077,"19,114",,
Clark St & Wrightwood Ave,Subscriber,41.929546,-87.643118,"26,960",,
Kedzie Ave & Milwaukee Ave,Subscriber,41.929567,-87.707857,"15,078",,
Stockton Dr & Wrightwood Ave,Subscriber,41.93132,-87.638742,"12,184",,
Lincoln Ave & Diversey Pkwy,Subscriber,41.932225,-87.658617,"14,346",,
Wilton Ave & Diversey Pkwy,Subscriber,41.932418,-87.652705,"23,556",,
Hampden Ct & Diversey Pkwy,Subscriber,41.93262,-87.642385,"22,144",,
Halsted St & Diversey Pkwy,Subscriber,41.933666,-87.648959,"17,560",,
Southport Ave & Wellington Ave,Subscriber,41.935733,-87.663576,"21,678",,
Sheffield Ave & Wellington Ave,Subscriber,41.936266,-87.652662,"21,190",,
Clark St & Wellington Ave,Subscriber,41.93649682,-87.64753866,"20,852",,
Lake Shore Dr & Wellington Ave,Subscriber,41.936669,-87.636794,"18,268",,
Broadway & Barry Ave,Subscriber,41.937725,-87.644095,"27,732",,
